low,open,high,relvolume,price,percentchange,symbol,watchers,hourchange,sentiment
113.01,113.01,114.28,0.5323,113.52,0.15,EA,20731,0,33.33
6.87,7.43,7.81,0.3366,7.07,-7.5817,CVNA,23279,0,-2.03
92.9,96.3,96.94,1.5349,96.81,-1.0527,AMD,455939,2,-0.7
95.7,98.41,98.48,0.7742,97.71,-1.2532,AMZN,586770,6,0.69
269.85,276.98,277.48,1.2161,272.23,-2.5767,MSFT,441943,2,0.02
126.01,126.99,129.46,1.609,127.14,1.0571,JPM,82210,5,0.55
4.14,4.25,4.38,0.4546,4.27,2.1531,AMC,411730,4,-0.45
176.35,178.08,186.44,0.6925,183.25,1.7321,TSLA,888860,2,-0.26
445.36,445.27,452.2,0.4475,449.26,1.2759,NOC,8003,0,8.33
99.88,100.12,101.75,0.7301,101.22,-0.3936,GOOGL,159585,3,-0.62
87.33,87.52,89.16,1.1668,88.42,2.196,SONY,2079,0,0.0
185.2,189.59,196.88,1.1646,192.51,4.8301,ENPH,37213,4,1.7
154.15,155.07,157.81,0.8489,157.4,1.5484,AAPL,876035,8,0.22
28.63,29.8,29.9,0.7742,29.16,-2.1805,INTC,130826,2,-1.51
124.19,124.31,126.1508,0.7973,125.94,1.8191,IBM,51327,0,1.06
251.3,256.15,260.24,0.819,259.0,0.6803,NVDA,419434,4,0.7
193.64,198.48,199.36,0.723,197.81,1.1247,META,511744,8,1.5
5.19,5.47,5.54,0.8466,5.22,-4.3956,SOFI,91592,3,1.11
